Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.68981,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.713519,0.00744,0.00000,0.00000,-0.00078,0.00000,-0.00076,0.00490,-0.00065,0.11151,-0.19416,0.95947,0.67988,0.00017,0.00001,0.00000,0.34770,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.69999,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.723695,0.00745,0.00000,0.00000,-0.00075,0.00000,0.00535,-0.00258,0.00149,0.11370,-0.19471,0.96173,0.68997,0.00017,0.00001,0.00000,0.34770,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.71452,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.738209,0.01181,0.00000,0.00000,-0.00073,0.00000,0.00275,0.00001,-0.00263,0.11181,-0.19471,0.96154,0.70012,0.00017,0.00001,0.00000,0.34770,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.72375,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.747464,0.00759,0.00000,0.00000,-0.00074,0.00000,-0.00015,-0.00029,-0.00065,0.11395,-0.19178,0.96002,0.71362,0.00017,0.00001,0.00000,0.34770,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.73370,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.757417,0.00736,0.00000,0.00000,-0.00074,0.00000,0.00031,0.00200,0.00302,0.11474,-0.19355,0.96087,0.72389,0.00017,0.00001,0.00000,0.34771,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.74472,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.768428,0.00820,0.00000,0.00000,-0.00074,0.00000,-0.00046,0.00184,0.00012,0.11108,-0.19300,0.96154,0.73403,0.00017,0.00001,0.00000,0.34771,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.75417,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.777880,0.00746,0.00000,0.00000,-0.00077,0.00000,-0.00275,-0.00045,-0.00095,0.11486,-0.19502,0.96197,0.74414,0.00017,0.00001,0.00000,0.34771,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.76457,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.788282,0.00767,0.00000,0.00000,-0.00078,0.00000,-0.00122,0.00077,0.00012,0.11407,-0.19447,0.96398,0.75475,0.00017,0.00001,0.00000,0.34771,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.77507,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.798781,0.00770,0.00000,0.00000,-0.00079,0.00000,-0.00061,-0.00197,-0.00065,0.11627,-0.19355,0.96148,0.76542,0.00017,0.00001,0.00000,0.34771,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.78884,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.812559,0.00728,0.00000,0.00000,-0.00081,0.00000,0.00000,-0.00060,0.00103,0.11285,-0.19398,0.96240,0.77900,0.00017,0.00001,0.00000,0.34771,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.79936,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.823070,0.00762,0.00000,0.00000,-0.00080,0.00000,0.00214,-0.00090,0.00409,0.11505,-0.19276,0.96191,0.78913,0.00017,0.00001,0.00000,0.34772,-0.03565,0.69999,0.16840,0.00000,0.00000,0.00000,A,131607.60
0.81374,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.837438,0.01183,0.00000,0.00000,-0.00078,0.00000,0.00260,0.00077,0.00027,0.11334,-0.19428,0.96185,0.79942,0.00017,0.00001,0.00000,0.34772,-0.03565,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.82366,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.847379,0.00858,0.00000,0.00000,-0.00078,0.00000,0.00138,-0.00350,0.00180,0.11407,-0.19306,0.96264,0.81270,0.00019,0.00001,0.00000,0.35978,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.83328,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.856995,0.00801,0.00000,0.00000,-0.00077,0.00000,0.00122,0.00016,-0.00111,0.11358,-0.19459,0.95819,0.82267,0.00019,0.00001,0.00000,0.35979,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.84285,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.866570,0.00739,0.00000,0.00000,-0.00081,0.00000,-0.00336,-0.00045,0.00348,0.11413,-0.19264,0.96081,0.83287,0.00019,0.00001,0.00000,0.35979,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.85306,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.876776,0.00742,0.00000,0.00000,-0.00080,0.00000,0.00229,0.00062,0.00057,0.11248,-0.19349,0.96118,0.84322,0.00019,0.00001,0.00000,0.35979,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.86375,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.887464,0.00794,0.00000,0.00000,-0.00082,0.00000,-0.00198,0.00077,-0.00340,0.11328,-0.19306,0.96429,0.85323,0.00019,0.00001,0.00000,0.35979,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.87426,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.897976,0.00825,0.00000,0.00000,-0.00085,0.00000,-0.00107,-0.00381,0.00271,0.11376,-0.19258,0.95971,0.86342,0.00019,0.00001,0.00000,0.35979,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.88876,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.912480,0.00720,0.00000,0.00000,-0.00087,0.00000,-0.00259,0.00062,0.00057,0.11309,-0.19264,0.96282,0.87910,0.00019,0.00001,0.00000,0.35980,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.89996,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.923680,0.00823,0.00000,0.00000,-0.00090,0.00000,-0.00030,0.00077,-0.00050,0.11614,-0.19593,0.96142,0.88962,0.00019,0.00001,0.00000,0.35980,-0.03654,0.79936,0.15850,0.00000,3.14159,0.00000,A,131607.70
0.91418,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.937882,0.01206,0.00000,0.00000,-0.00088,0.00000,0.00351,-0.00121,0.00225,0.11438,-0.19306,0.96447,0.89955,0.00019,0.00001,0.00000,0.35980,-0.03654,0.89996,0.15850,0.00000,0.00000,0.00000,A,131607.80
0.92271,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.946424,0.00727,0.00000,0.00000,-0.00089,0.00000,-0.00107,0.00062,0.00073,0.11376,-0.19483,0.96264,0.91292,0.00019,0.00001,0.00000,0.35980,-0.03654,0.89996,0.15850,0.00000,0.00000,0.00000,A,131607.80
0.93370,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.957407,0.00807,0.00000,0.00000,-0.00094,0.00000,-0.00443,0.00108,-0.00004,0.11132,-0.19477,0.96301,0.92355,0.00019,0.00001,0.00000,0.35980,-0.03654,0.89996,0.15850,0.00000,0.00000,0.00000,A,131607.80
0.94336,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.967077,0.00753,0.00000,0.00000,-0.00095,0.00000,0.00061,-0.00075,0.00332,0.11444,-0.19331,0.96264,0.93325,0.00019,0.00001,0.00000,0.35981,-0.03654,0.89996,0.15850,0.00000,0.00000,0.00000,A,131607.80
0.95351,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.977218,0.00748,0.00000,0.00000,-0.00096,0.00000,-0.00183,0.00093,0.00042,0.11346,-0.19483,0.96130,0.94358,0.00019,0.00001,0.00000,0.35981,-0.03654,0.89996,0.15850,0.00000,0.00000,0.00000,A,131607.80
